Username,Text
macbeck,How hard is it to possibly have to give up a pet or two if you have to move? 
Teayam,My face again... I miss this hair  http://paradisaea-decora.deviantart.com/art/Amore-de-Mori-Fascinator-112915560
kickin_it,WHY DO THEY HAVE LABS THIS EARLY?! I just want to sleep. 
samanatrix,"@cjmgrafx I guess it would be, sorry. "
FelineFancy,takes Finnie to the vet later today; he's lost weight and she' worried 
mrslevite,@mholles I would go with reading Moon Women.  But then I would fall asleep and  be late for work.   If I 'worked'.
mizrainbow,Time for work. Im tired...  
imnickyip,@AshFoo UGHHHH i hate you  *jk* &lt;3
elizatexas,I got to sleep for three hours! Off to work 
twilight_love_x,Shit! I think I sprained my ankle... What am I going to do for my 1.6km NAPFA run tomorrow?!? Damn. 
jonsmyth,Ravioli just burned my tongue! 
jahmash,stuck... it seems there are quite some disadvantages about working alone  i guess i need personal ass-kicker
JayneHowarth,@Joner can't get there 
jldundore,&quot;April SNOW showers. kill may flowers&quot; 
alexislyon,programming homework is making me late for work 
xrachelllx,the sun has given me a terrible headache 
VeloTraining,"@nichbuick Quite possible I'm afraid, shouldn't happen but can. I had a set replaced under warranty at &lt;2000 miles last year "
CARLITA18,"we had sunny days, now the rain is coming again  can't go for a walk with my baby"
tracey_lynn,I wish I had been home in time to sleep next to my husband before he went to work for once.  
BMforlife,@domcisme might have to consider removing it from the studio mac pro tommorow  /sniff
laudaisoi,Em ?ang l�m g� nh? ? Sao ko th?y tr? l?i m�nh  
hurricane_mario,But i missed breakfast cause of it  and its supposed to snow 3 to 6 inches today. Is it april or january?
Jowie85,@HURM the way i have been feeling the last few days and nights... i think i have conficker... it tried playing opossum... it didnt work 
brendaisarebel,"@binxy thanks! i started sniffling like crazy at the gym today  boohoo, but lots of vitamin C should do the trick!"
JoHart,@mrskemp sounds like sledgehammer approach to management! sympathy 
danamorphic,@Kal_Penn OMG I can't believe what just happened in this weeks House. 
AmandaJanelle,why does it have to be cold? why do i have to be awake??  oh well Good morning all
zampeachie,@slipandstumble really hope it goes aright 
joyanne,"@andrevr yes, but sadly i can't make it  family commitment from forever ago..."
augustography,I wish I could install Japanese input on Windows 7 beta 
AMANDATYRER,I need food 
stokoe123,just had my lunch and did my chores  boring....
ikehnewton,"Argh... I am not feeling that well today, and my new look with the social site been canceled "
tiapeterson,Car got broken into last night. Feeling violated! 
Krelborn,Jury service was a bust. All done and never got to serve on a trial. Goddamn guilty pleas mean my 2 weeks off work has been cut short 
slytherinvera,"I almost want to cry because I'm so damn frustrated. I can't breathe through my nose at all, so I can't sleep. No rest=no getting better. "
ChristinaNikole,"Is absolutely sick of riding the bus, sick of school and sick of living so far from the church. what an attitude!!! "
Dogbook,Ripley is missing Sarah  http://apps.facebook.com/dogbook/profile/view/540402
AleCherry,aaa migraine  poo k time to go to school i slept in  buaaa hate tuesdays 8-8 =(
mexicanpony,is in a proper shitty mood 
estheresses,Go too the schoolll  i have sleeeppp
missjilly,"JUST FINISHED CRYING HER EYES OUT, PARENTING A PRETEEN IS HARD "
bladonracer,"Enjoyed playing golf yesterday in the sun, now reaching for the paracetomol before badminton session "
XSweeneyX,soooooooooo much uni work to do 
laurawhudson,@oliverhudson Thin end of wedge. 
vertigowooyay,@Sheamus any chance you can switch from bit.ly to tiny url? I can't read any of your links at work as bit.ly gets stopped as 'malicious'. 
brendaisarebel,@TomFelton omg that sounds amazing! i live all the way in bangkok so I don't get the chance to see shows like these  enjoy!
ElenaGiovani,is messed up 
theellibu,@bexiclepop Sorry hun  Just not sure if I can any more time off atm. Could meet up after Hammersmith tho? You staying in London then? x
jerryfetus,Ryan talking about his ex-gf miscarrying makes me sad  although he's like 20something with no ambition so it was dodgy &gt;_&gt;
helloLIYANA,@nishafoo i miss you too! 
CherieAmour24,Def taking my Northface out of what I thought was retirement 
thelastkennedy,MCPRUSA lives!!! Always in our hearts. Goodbye Puerto Rico 
Oral_B,Ill head 
Robert_Moran,For some reason is unable to sleep 
Andrew_Robert,Going to Gulf Shores. But not for fun. For work 
LordGU,Went to see my doc today. Told me that things are worse than expected. Need some meds from the drugstore - some heavy stuff. 
etuazon,gonna hit the sack. massive day of uni 
sausagesmcgee,Hayfever attack! Looks like I've got to get back on the Flixonase again 
BendyWalker,Just watched this week's episode of House. Oh my God - it was so sad  made me cry.
ajaymohanreddy,"Friend's wedding tomorrow. But the venue is so far away from my place, and not very accessible using the MMTS either. What do I do "
afiestas,"After a week of holidays lot of work to do, answer emails, create some changelogs etc, not a pleasure work at all "
marusha,"Ufff, they`re all now offline (my moldavian friends) "
rachelnicole18,What do you do if a blonde throws a grenade at you? Pull the pin and throw it back. hahahaha not.. I need a good joke 
CaroleRichards,"@airbush  thanks for the guru links, but they just take me to the sign in page "
emilyexploded,I had a dream about one of the people who I follow and they follow me...he went to prom and I didn't 
Kamylon,At work 
Lannaa,"Silverstein stuff still isn't here  lame. I don't like our postman, he's a knob"
britt0724,It's snowing! Really wish it would stick though 
sebby_peek,"@amazingphoebe i guess so :/ but i'ma still be hell fucked off those nights regardless, i guess "
NemmyNoo,is strangely addicted to 'great british menu' just need to do some woooork 
MrsApollo19,"Ugh, school  i hate coming early and just sitting at my locker."
xtirsa,"back from school, now doing the papers "
YasminHughes,finished ma pasta  gotta get on and do my homework now..grrr
emoh,just came home....drained. 
glammakid,Having some lunch &amp; watching The Women with mother... throat hurts sooo bad! 
elspuddy,want http://tinyurl.com/3p7653 !! but not in the uk store 
tlblocker,is goin to work 
mollie_trainor,"Last night I watched the most depressing episode of House ever!  But anywho, I'm sooo tired of speaking French 24/7. Ick..."
px,"Just got Delicious Library license key, scanning everything with #barcodes. Burt's Bees Beeswax lipbalm fail. "
Cidtalk,"When I think of all the unsavory things I've done in my life, the most guilt comes from waking a kid for school..seems soooo cruel. "
tuxetuxe,humm no support for remote cvs history in opengrok 0.7 ...  guest i have to wait for 0.8!! 
HeyChinaski,@quii  Jealous Java programmer -&gt; @HeyChinaski
PrincessLilla,omygosh!  my lupus rash on my face is so awful this morning!  I look like a monster 
wibwEric,Lets hit the showers Tweets...can't have you stinking up the place!  Oh wait- that's me  
Poppypaws,wishes things were easier 
BrownBella,"Mornin twitterlings! I am tired. Don't want 2 get out of bed, but must catch earlier train "
tonguetied_,i want my long hair back 
BlueInkStains,"@lickmycupcakes  So sad when animals are unhappy, my dog has mastered the reproachful-youre-breaking-my-heart puppy look."
fuzzone,@monikamundell ...but twitter seems to be taking up my email time at the moment 
joconchie,@Firefly2020 I didn't win!  my 5 horses came just outside the top 5!
spyduh,jealous of all the people tweeting about meeting amber benson at supernova/king comics signing.  hope the perth supanova gets some stars.
rezeki,Chest pain.  Hockey training tmr. 
nhdinh,C? g?ng l?t ?? ng?i d?y 
sankekorafi,April + Snow = 
jordanhowell,No coke. SHOCKER. 
Nikilbs,baahh???  SNOW?!?! .....  gross...
Celz29,i still want more followers.... celebrities!! for my challenge is not working too well!! 
flipgenie,"Must stay of Etch shop, Must stay of Etch shop, Must stay of Etch shop, Must stay of Etch shop . . . dammit "
robertosantos,"@chandarenee yo,yo.... hope your well, haven't seen ya'll in a minute "
jeffbee,Wife just called with my 2yr old on the phone. Woke up and wanted daddy. 
Vicky_B,Looks like McG lost his R-Rating battle over Terminator Salvation. Watered down Terminator movie?  http://tinyurl.com/c37yjv
kellistar,@KristyLee04 yeah... sometimes i actually do try to be gangsta when i feel like it would suit the moment... but i always fail miserably 
marramgrass,"Dang. I had hoped to make my Xcake debut soon, but can't make Thursday evening "
joshbates15,"picked up my new glasses yesterday, and when i woke up this morning i thought they got my prescription horribly wrong! it's snowing "
monamour_x,Cramps are crappy. 
KateAWard,"@innocentdrinks prob not first to say this, but I really really hope this coke deal  isn't the end of the innocence! "
ether_radio,its so hot in frankfurt 
abacus4counting,@thatCulliverkid I thought you really cared 
phuongiepops,@shirohiro mama bear i miss you 
smartiepie99,Yay we won our debate... but now I'm tired... and Bored. And I'm weird when I'm bored... 
Thesss,"@dkingh Glad you still like it! Still want one of my own hahaha, but i don't have the time to make one... "
michellebandril,@AsiaSadeAzante hey Mama! U still at the studio?? Woke up in the mid of the nite 
seany85,"@Glinner awwh I feel dirty now, having followed an amateur armando  damn fakes!"
urbanwide,"@pholloway hrm, yes I just noticed that too... probably best to ring up... (and I can't make it that night BTW so I won't see you  )"
ThaliaJane,@Irfan160  No  i'm so tired now.
edwardli,I am very close to buying a MacBook 
HineshRajdev,@Wand003 It'll be a sad day for Endemol. 
Porthouse,@eBeth have installed the much talked about tweetdeck... My hubby does most of the geek stuff in our house so am a little bemused 
proudmonkey75,Well later friends better do some work! 
StarSophie19,thinking how i am actually gonna revise for my gcse's which are very soon unfortunately 
laura_valerie,"@sabrinatan Gorgeous, I told you that your foundation has been discontinued yes? It's getting recalled on April 14  xox"
ripnix,@Sophiamar  espero que estejas bem. Need anything. lady? Kiss
danielle_sugar,i miss my mum  havent seen her for almost a week and i still have to wait another week  she just called me i miss her
EkoEko_Azarak,This day officially sux.. bad mood and stuff like that 
aznmnx,I hate no sex week 
kiryn,I think #nickdarcy got a raw deal! Another champion leaves the pool. 
SorenLorensen,Are @replies/mentions playing up or is the whole Twitterverse just ignoring me? 
JimserM,@SportsGirlsPlay I coach too. Forced into retirement a good few years ago due to injury  You coach in the US?
rosiiebella,sitting home wishing he would just call me 
asegga,KENYAN TEENAGE Girls seek solace in cow drugs to induce abortion 
figure10point1,I'm sick of living in this apartment by myself...I miss home so much 
leehurley,i slept for too long last night. my head aches now 
carolmanila07,hopes she wouldnt have that toothache again 
mattmagic,"ARGHHH spent all yesterday doing a DPS for WMB, found out just now that we're only booked in for 1 page now - start again then.. "
brita424,im scared to go outside....its COLD today. Too bad I already put away all my winter clothes 
vital_sign,Gahhh THIS TWITTER APP FAILS 
weirdalgurl,Work... again. I didn't even wake up last night when Muffin came to bed 
KatieKatie82,I'm up way earlier then I want to be 
ryzllXD,"Photo: got this from marj�s multiply. awww, i�ll miss you masci,  http://tumblr.com/xix1ju5ku"
SatansPuppet,@Emzypurry not sure I'll grab book 3 her writing style is kinda simple... Not much happens 
Jasminepaige1,birthday soons 
starjamgirl,bedtimee. not that i'm doing anything tomorrow. stopit music 
Tory_x,having a bad day 
Yilishabi,"sadly no boarding today, picked up a bug from somewhere "
sub_baseline,"@DJAbsoluteValue means nothing to me, I still have to work Sat and Sun and they took my twitter away "
jenn_elle,dragging myself to work. 
AnnA_LySe,"i have to study, but I don't want to  it's so booooooring"
fn17,wants a G1 or a Prada 2  CONTRACT!
Lara_Disco,My boobs hurt 
SorenLorensen,"@hollyalyxfinch Oh, Holly!  Take no notice of these morons - we think you're wonderful and very talented "
Jenn2204,Is at home with a poorly foot 
caitymay,"im sleepy, my head aches and my throat hurts and i want to go home "
lukeii,"@JamesHancox That was a great idea, I invited her to Queen Vic market with me on Friday.Then realised it was Good Friday and it's closed "
LindsayShively,Hoping my puppy gets better!!! She had to go to the doggie ER last night 
JanaAlyssa,study study study. it seems to be never-ending. tests all the time.  
_sugarcube,"@pennylane316 Yeah, I know they are touring in USA soon, but I couldn't go, it's during the week in Philly "
tarwe,Vomit. Urgh 
ChuckSmith,@betahaus You really should put your website URL on your Twitter profile. Took me a while to find it. 
Kayerodriguez,Miss u baby  r u awake? Time to poke ur patients already!
omgitsKatiebee,Going to starbucks!! Then school  first period is French. Zut! Je n'a pas fait mes devoirs francais.
solitarydancer,@Yasmin64 We're supposed to be getting Tesco in the states but nothing in my area yet.  
mohdrafie,"Anyone who's like a superstar can use ustream.tv to broadcast #IgniteCardiff live. Apparently, my iMac is too heavy to carry there "
GiveMeSpace," I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead"
Lola_Pops,lunch was disappointing 
jw37643,Cases like sandra cantu break my heart... Also the reason I'm uber protective of my girls 
Smelleykins,is NOT a happy bunny. so-called friends have gone and ruined my chances on this project! 
RachPower,"Would be fantastic if my home loan wasn't fixed. Everyone is rubbing their hands together with this interest rate cut, except for me "
dbferguson,"No one at my new job knows it's my birthday, so sadly I see no Big Cookie in my future. "
peterneubauer,"#untwitter the &quot;trash-bin&quot; solution doesn't work! the tweet is in the indexes and propagated, even if it disappears from my personal list "
lovebig,@Januaryeme So sorry for your loss....another thing we seem to have in common.  
FunnyTasha,@KikitaLinda Awww but 300 is also very much =D oh my gosh do you know whats going on with nick? 
cerbstarraiser,I am NOT jealous of my friends with iPhones.  I'm not!  ...I'm not... Really... 
guardian_renata,@Celticgirl1913 i'm sorry.  hopefully it will get better.
ShystieUK,"@NicholleMonique Tis true baby boo, tis true.. I need to charge up  coz my BB doesn't deserve to see the Yellow or Red bars.."
julie_luv,It's too early to be at school... It's 6:50 ugh.... 
debbiferr,just woke upp [: CHEESE ON TOAST. yummmm. i want to wear my spongebob teeshirt but i cant find it 
Jeni86,is it friday yet 
vasbestkept,@Ps8612 I missed the end of I love money 
jenncastle,@ChrisInBoston Baston... that sucks dude.    {{sending happy thoughts your way}}
RoseStack,"@bradiewebbstack ew not meatloaf. go with pie..wow you said that like, 2 hours ago. omg as soon as i logged off you got on. typical "
Celz29,mr twitter what r u doing? i can't send direct messages anymore!! 
jaimejo22,I'm sick...   Those little dudes from the Mucinex commerials are throwing a party in my chest.
julesyjules23,pet society aint working 
rebeccaclark,i just cried when blair got expelled.  poooooor blair. but its okay. she is going to Yale and everything is okay.
holyfudge,Stuck at home  I watch way to many border patrol programs..watching a new zeland one now. What the hell is MAF?
joseadan88,ahh... food .... class 
aharvey2006,My HDD DVD died  picked up the new Topfield TF71000HDPVRt  with the wife's permission of course
DeirdreJoh,good morning.... i wish it were nicer outside  but that's boston for you
tricia_nicole,where did spring go?? 
PaulaFanx13,Gonna go to school in about 40min 
AnaVatazes,"You know, I don't how you people can put up with my lack of spelling ability. Just looked over a couple of posts and I messed up a word. "
pennydog,@purplesparkle You'd get more taking it to the breakers 
dancer_manda,"is getting ready, then school! tooo early "
Nicki39,Just got home from taking Lynsey to the airport. It's cold and snowing hear.  I think they said the high today was only in the 20's. 
dareeen,"I hate our student teacher, mrs. rolls "
Ste1987,@23graeme23 Same  - Had an unproductive morning too.
sylvien,"@mamamusings thanks for link, will keep it for next time as I had already ordered glasses "
ICEparties,"sitting in the office on my own, all my colleagues have abandoned me "
robertholiday,it is cold in the A too 
MATT1604,"@matt231 I still don't understand  Can you get me up to date, please?"
jawny,does it sound wrong if i say i miss her already? cuz i do.. 
DarthMolen,@tompierce GAAAH Now I have Monty streaming in my head. I thought I had kicked the habit 
ginny9577,"@Helenszone unfortunately no, it's in the non-nkotb section  i'm still trying to figure out my AS spin-off.."
jhnewf,@tessaschraven Not sure if that would work!! It's so $$$ to fly out west!  I want to though...
noodleblue,@HarleyNK there's no NK's to play with 
Farrahri,Idayu's away!!  And my phone is bent!!
TraceyGW,@rexnebula Congratulations!! I'm glad the job went well for you!!   about the no snacking....perhaps you can get some quality snacking in
shadowsteph,@roseformyrose oh I am feeling the same today 
tsuiwei,What the.... Didn't have time to tweet since more than 24hours ago!!! 
cklovewinter,@thatswhack74 hsm3 premiered here one day before the US premiere. the only time that happened 
CassiiNasi,"SICKK  i feel like dying... but im not gonna,, cause i LOVEYOU."
iamcheerbear,eye hurts 
philhawley,"@kusasi I had it before, but not sure it is on this phone  I will check with you before then, we will go down for the weekend I think!"
curvyclaudia,hmmm the twitter I sent from my phone last night didn't get posted 
Mithrilendil,@coren42 erf can't listen to it at work 
rondata,@TanMcG but.... it doesn't come with a flashlight 
cleokid,@amnewsboy i'd love to but im at work now 
lovingindie,This world sucks 
cherrybomb54,Ergh I feel like crap...I'm so sorry 
ianapplegate,looked for cafe on tooting common as per @baseblack suggestion. Ended up in the wrong one 
carmensmiles,i want to see SAW 5!!!!!!! mhhhh i don�t when it�s available in Germany 
safclyndz,Work soon 
andrewb,@duncn Our stormy-ness has moved on 
beautyidol,"Suppose i better do another post, i been slack latley "
btcprox,I'm craving for the long weekend... 
Lisakristinee,Im superrr tired this morning  I want breakfast!
warrenparkinson,@Schofe Darn! I missed the Twitter man!  Is there anywhere online I could watch it Phil? What was his deal?
Laaurennnn,i'm so bord i have nothing to do i wish my friends went busy 
saranouman,Just baashed my head on sum iron railings 
nadimulia,wish could be in JKT for shaayna's birthday on thursday  
BerticusMaximus,My brain hurts.  Talking about digitisation is very complicated 
vestybaby,@Willie_Day26 u won't be singin that song lmao (smh) its soooo embarassing but it is cold and snow on the ground  hope y'all enjoy the  D
vilmajar,Cannot find my sport shoes  was ready to go for my first open-air running 2009.
mudpuddletwins,having a hard time concentrating; my cat some how got out &amp; has been missing for a day. He is literally a scaredy cat plus it's so cold. 
srandhawa,shed a tear for &quot;gran torino&quot;  another vintage from the clint eastwood stable of movies
kch33,Getting ready to go to meeting.....Yeah!! 
kimparsell,Lovely spring AM in Ohio - it's snowing.  No accumulation expected though. Supposed to start warming up again tomorrow thank goodness!
ClaireLouise89,Just been down to the opera house to see the star trek world premire...but missed it 
illanzadi,"Almost at school. More ERBs.  and I have to bring in my back pack, and poster board and cake for a project. This may not turn out well."
seishirou99,"@silverwind Aw, that sucks. "
summerlady,@KarimJebari thanks for concern. No physical harm. I was just about to enjoy some malatang when I found my wallet forever gone. 
Adamicusthe3rd,"@Xantiriad fingers crossed for you Xan, that's horrid news "
Marawitch,had a lovely chat with a Thursday Island guy today.  And now is haaaanging for palm trees.......and frangipani.....and dugong... 
LisaLuscious,The most boring dinner ever! i hate being stuck in the house wanting nice food and not having any!! sulky mood coming up 
LucyHarrop,I'm so bored  But its sunny for once but i can tell its gonna rain 
shiwon,Reila woke me up around 3:30AM and I STILL haven't gone back to bed because she's asleep on me 
KingOfHighFives,Just seen 'Little Big Planet' for �11.99  I just spent �38.99 in it.
GJinkieZ,"I woke up to find snow, had to scrape my car and its 30 degrees!!! I miss FL and my Disney family so bad "
warisara,and here  http://twitpic.com/2yaxf
VeganAberinkula,@FruitTree101 I know! The poor thing must've been so scared! All these huge things coming towards it! 
ycandybrooklyn,accidentaly overslept   had to drive this morning/stare at the sun.   5 page paper to start and finish in an hour. oh joy.
Mmerii,why i can`t find dear friend  i need her to tweet with me ! help me people !
PolkaDotSkirt,HOW is it 1pm ALREADY? Not enough done 
saurjk,exams suck 
lilyginny27,"@javastix as of now, it still ain't up yet "
hazy_crazy,is halfway through &quot;A Thousand Splendid Suns&quot; and already thinks it's brilliant... and so very sad 
rnjeter,It's snowing.....no more needs to be said! 
kevincharlie,urgh - look outside - it's winter wonderland all over again 
Nielsdad,Trip to castle turned into a 60 mile round trip with the kids being sick in the back of the car 
MusicalLoop,is wishing he'd brought some of the chocolaty treats to work. 
buriko633,snow really makes me sad 
shmerm,I spent all of last night waking up every 30 seconds because I was nervous about registration 
BenJacob,"Damn, I just broke that wooden writing pad. which I usually uses when sketching.. and writing while on bed.. or relaxing on chair. "
Dandy_Sephy,Drink exploded in my bag 
jeffwhipple,@jutecht btw...loved your baseball post...this is definitely best time of year...was disappointed red sox opener was rained out... 
julieannequinn,this time last week i was in paris 
akansha_89,DC tomorrow... I m nt prepared!! 
nursekk1,Has a cold. 
shaauunaa,Ugh. I have to wait a whole day to see my baby.  and i work 5 to close today. Come visit me
urbanconspiracy, my housemaid.........oh I hate her :s  I guess she has alzheimers she didn't even know MY NAME
Farrah87,"wishing i wasnt at work, and preferably in bed.. sleeping "
simoncherian,locked out of my outlook account for the 3rd time in 3 days 
Swagg_10,On my way to skool late as hell nd I dnt feel gud 
Jinxx_,WHY does the Sims NEVER work on my laptop? WHYYYYY? Someone help me     
yazza9,"Right away to start on some school work, snooze  xx"
Cruelimnet,Violence: bloodbath in Landgericht Landshut... 	 Germany is no longer safe  
stayzz,@hoodrichjesse mine too and I can't get it back 
alfonsostreet,I'm not excited for the yearly Holy Week trip to the beach. 
dvx_uk,Did you know that I havn't played my 360 in over a week  I just can't seem to find the time just now 
slamma,is home from Sydney but didn't bring back any doughnuts 
bwsteam,"@SeanMalarkey Its evening here in India! Right now, Studying for exams! "
Helenszone,"@Rockergirl75 Eeek, I wanna read now but I can't  Later, I'll be on there later *can't wait*"
Fonzman1984,Keep having dreams right before I wake up that slingplayer for iPhone was released!  still nothing...
hairbydawn139,has to take her kids to the bus stop then get ready for work! 
_MissKatie_,http://twitpic.com/2yb45 - Eggies!!! For my sister and parents. Im not so sure Im gonna get some back... 
slizbiz,i miss going to school 
marinasg,@mikafonacier I'm seriously so devastated.  Hell yes. HAHAHA. :x
seniorteddy,good morning world ! its to early to be at work ! 
nfoxww,Hanley's grand slam gave me a nice first day in fantasy baseball...too bad it came against the Nats 
traviscampbell,Don't you hate it when your salary gets cut 10% and you have to cancel your vacation to Camp Meeting and miss Leonard Sweet Speak. 
womenoftheworld,@Jeni86 Its only Tuesday gorgeous!! hasnt even reached mid week yet 
KunnBROKEN,i think my life is horrible 
pyupyu,@jeszlee me too ?  whats wrong ?
rebexsti,Martin and Sam aren't going to be at Soccer Six this year 
ciazzo,Should I go for a run or should I do my laundry?? Or both?  Still gotta work tonite.. 
adamgford,Smart start + 24 = chipped tooth 
ninjaradio,Trying to get the website completed.... Long days 
AbbyHulk,Hope i did okay! 
Ted_Avery,A snow covered morning... In April. So depressing  http://twitpic.com/2yb54
gabs,php playing up yet again  ...  $showform come on work u little .****
ginaberry,though i forgot my celery 
sunflowereffa,@Adam_Brody where can one get a marshmallow gun?? I don't think you can get them in Ireland!!!  
babybrown30,Is about to start studying for her next course Biology 
NiciC,Just got my favourite brie and cranberry ciabatta... forgot to get it toasted though  damn
deanWombourne,Glad my PC had stopped randomly crashing;  it wasn't very conducive to work  - http://bkite.com/06fNh
GarberFootball,last night sucked...the tigers loss and msu lost  but atleast the red wings won
jellybeansoup,i liked kutner  #house
dangermouseuk,Is watching a wall come down and protecting a bad back from the rigeurs of another daily grind 
CatQ,"@izzy4u thanks dear... we had two more tremors today, I'm ok but the poor people in l'Aquila are really in difficulty "
incomebuilder,hello tweeters..havent been on much lately...too busy  hope your all well!
nicklover411,Ew the snow is still here! i have school today! 
gatedialer,On the way home from work. Gotta rest up because I work tonight. 
amypenney,�356 to make my poorly car better  oh well worse things happen - anyone got any odd jobs for meeee? lol x
PoynterJones,I want to come home from work. Im sick. -_- My legs hurt 
JeepNaked,gotta get dressed amd go into work today  ..but do model nude every Tues/Thurs nite until May 7th in Union at the CC
RoseStack,@bradiewebbstack omg am i being a stalker or WHAT?! i'm having a 1 sided convo with myself...through ur twitter  bradiekins &lt;-- haha
Karelman,thinking in Italy. So sorry 
superstar_caz,"im all sore  on my days off, WHY?! "
TriciaKohn,Getting back into the swing of things at work.    Wishing I was at home with my girls.
Katsujinken,@Redoilcan Sorry can't tonite I'm Ironing and Hoovering... Then Dusting 
Hollywood_Trey,@MissFarrah Very nice!!! U r a pretty young lady! But I'm no loser tho...&quot;holding up the L like that&quot;  LOL!
Lana6675,1 hr left of work...then spending the rest of the day with my sick lil girl 
89emma89,is very tired and has no energy  as she has the cold 
amysav83,@standinginalley every1's wrkin 
dianeindoha,too sick to be here 
jmh010,"http://bit.ly/rKfaO new spending plan looks very practical (more intelligence and irregular warfare (@ terrorism)), still jobs are lost.. "
darkXmatt,@SL05NED hey not bad lol &gt;&lt; well im writing notes and notes and more notes then referring back to them.. dunno if it will even work 
oceanographique,~yay~ going to plastic on thursday 
shelbykatu,@marciachaney So it got to 78 yesterday...tied the record! Today.. about as warm..around 75. It feels like summer! But not for long 
natemorgan,Headed to SFO for early flight to San Diego. Homesick already. Sniff sniff. 
simoncherian,@bhargavkapadia aren't they always? remember the college. the 'private' connection used to block everything good. 
jesta,A glorious sunny day and I've got a headache 
stalkerh,Wants to be a developer and not a support engineer 
HOOP12001,dont want to study today. want to pack my bags and leave. could it get any worse 
purplelipstiick,@Roselyn ooouch 
kayasmith,@Tracy_R cilla fell off the stage dancing to aitken drum in the last show 
signup94,"6th grade to 1st year, ok. 1st year to second year? mmm. . . 2nd to third? OHMIEFFINGAWD! I'M SO OLD! ah munna miss the internet. "
cklovewinter,@thatswhack74 that's what happened in twilight and will happen in new moon again 
lmccrudden,@thehoosiersuk http://twitpic.com/2yafi - Keep Losing Count  Ill Guess About 176  xx
lecobarros,@malvim It's funny because it's true... 
gabizil,Com mtoooo friooooo ! 
palumkin,prepping for moot court interviews... very nervous 
noodleblue,@tamsul oh man!! its too hard! I cant not have phone contact 
campbellscott,@cj_evans but I still like them 
MadLadUK,Sunshine...!!  Washing drying. Trying to keep boys occupied... but all the want to do is slob about in pyjamas and play Halo..!!  
Irenaaaa,On the train.. Day 2.. 2 more to go.. No coffee today 
Siviann,I wish I could see Eddie! Never in Davenport 
SCsweetie032,Just got to work a 1/2 hour ago.....wishing i was still in bed 
ehreehkah,says aww. maintenance ang Pet Society.  http://plurk.com/p/n1mox
Cinnamon88,I just lost all my emails!  Not impressed 
joshfahrner,"@tylertorment This is messed up, possibly to block the Sling Box with any service that AT&amp;T is going to offer "
David_Lazear,Does anyone use Flock?  My accounts &amp; services info in the sidebar has disappeared. Anyone know how to recover them?  No help from Flock 
philoUK,Royal bank of scotland making tonnes of techie redundancies.  More competition for me then 
habitualangel,glorious sunny day and i'm stuck in work 
mandydoucet,My radio doesn't want to work this morning. It's too quiet without it. 
TiffanyDow,@NicholasMancini Wish I could but Twitter nixed animation  It's grandfathered 4 those who have it.
braintrainer,"Social isolation alters the neuroinflammatory response, causing IL-6 levels to rise in stroke patients...it hurts to be alone "
natperez,Why am I not at the beach with ana and claudia?! 
royaldixie,...if only I didn't feel crippled today. I can barely move my shoulder and neck 
emielvanwegen,Oh no...!  It's expense report time;  over 4 cm of receipts  
brettcarr,"@bletchleypark Visiting this weekend is the Computer Musuem open on Saturday, last time I came it was closed "
cleokid,@cscisu that probably explains why i dont like it.  i hate fruity pebbles. 
nguyenl,@macknick Yes I do tweet back a lot but wonder why you don't respond. Did you delete your facebook account too? 
alltimelowjody,@chantelYO chantelllll. im gonna cry now. 
ShropshirePixie,"@piginthepoke had other stuff to do after finishing in here last night, rather late to bed  With curry sauce, or mushy peas?"
chelsea_33,is going to work. 
xxzombiegirlxx,ughh mom`s making me cook dinner when i`m in the middle of Nick and Norah`s Infinite Playlist 
cassyellen,ouch i bit the side of my mouth 
omglaura,is starving but nothing looks appealing in my fridge 
MariahAKAhoney,is watchin candy girls......why cant i b in a video......sux dey mainly use american girls 
6ftunderthestar,Ugh school I hate you. Why do you make me get up so early? 
gimraent,@kamikazekitten How long has he been gone? Hope he comes home to you soon ... 
marionaunor,": so like, now that everyone knows what I'm doing with my life here in twitter what am I supposed to talk about in normal conversation?!? "
devonblack,"http://postsecret.blogspot.com/ The Jury Duty postcard - I WAS TOO, but I couldn't fly to Calgary for it. "
Karithina,Being both a procrastinator and a perfectionist is a terrible combination for university 
silversuperman,@nickycole30 i feel ya nicky-cole i feel sick as hell and this week has just not been going my way.   either way cant wait to share a ...
sweetney,"@drowninginkids Crap. Okay, okay so clearly I love Canadians. I forgot about @schmutzie &amp; @palinode too. Y'all make mass enslavement hard "
stacey_leah,Baby boy crying when I left. Hurts my heart 
jyfulmama,My tea is cold 
iCarluccio,Did you hear about Sxephil's father..  So sad.. Poor PhilyD..
sarahcd2004,"Another day at work!  Is it 5 o'clock yet? Guess not 'cause I'm still here.    Well, gotta go!"
laura_brooks,@davidjoergensen  I don't want to. Will phone back one of his colleagues and hope I don't get put through to him I think.
tree183,"@Vemsteroo There's a patch of frog-blood in the garage  I feel guilty, but I've stopped crying. Lol. I've never killed anything before."
Ohrbootin,Day 2 of wisdom teeth pain won't end 
MissLeeza,@tenny_id ha. Its been falling since 5am. 
cristinacost,@mformarie  causing a lot of trouble on this end too! 
guyberryman,I meant &quot;rly&quot; not &quot;fly&quot; in my other tweet 
RockStarPirate,Brrrr ! Heading to work.... Chilly today 
